Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
132,438,368,539,0,651,0,0.045,0.0,0.06935971303561896,0.2019489422712707,1.0,0.02076313928831988,0.048596573747299074,0.06935971303561896,26,0.1
133,447,367,558,0,654,0,0.045,0.0,0.06910081714395029,0.20200512267976278,1.0,0.020376280356015443,0.04872453678793485,0.06910081714395029,27,0.1
134,457,366,557,0,669,0,0.045,0.0,0.06876094266983782,0.2020788754406452,1.0,0.019911362525244426,0.04884958014459338,0.06876094266983782,27,0.1
135,463,365,569,0,679,0,0.045,0.0,0.0689100972843883,0.20204650888928774,1.0,0.019935323309411807,0.04897477397497649,0.0689100972843883,28,0.1
136,470,364,587,0,677,0,0.045,0.0,0.0687524162157937,0.20208072568117275,1.0,0.01965421377828955,0.049098202437504145,0.0687524162157937,29,0.1
137,473,363,591,0,693,0,0.045,0.0,0.06846965073151845,0.2021420857912605,1.0,0.019250554809808713,0.04921909592170974,0.06846965073151845,29,0.1
138,470,362,598,0,714,0,0.045,0.0,0.06850310226820129,0.20213482680780032,1.0,0.019163658570667753,0.049339443697533535,0.06850310226820129,29,0.1
139,480,361,624,0,710,0,0.045,0.0,0.06847267510029066,0.20214142950323694,1.0,0.0190138245843673,0.04945885051592336,0.06847267510029066,31,0.1
140,497,360,638,0,724,0,0.045,0.0,0.06805711115753628,0.2022316068788146,1.0,0.018482192472883217,0.049574918684653066,0.06805711115753628,31,0.1
141,502,359,636,0,737,0,0.045,0.0,0.06790035248081193,0.2022656235116638,1.0,0.018211068287314534,0.0496892841934974,0.06790035248081193,31,0.1
142,511,358,648,0,746,0,0.045,0.0,0.06805315528780422,0.2022324653025465,1.0,0.01824926570567518,0.049803889582129036,0.06805315528780422,32,0.1
143,524,357,654,0,755,0,0.045,0.0,0.06794048609460018,0.20225691451747174,1.0,0.018023409500806074,0.0499170765937941,0.06794048609460018,32,0.1
144,532,356,655,0,771,0,0.045,0.0,0.06794272057266376,0.20225642963573198,1.0,0.017913149400633686,0.05002957117203008,0.06794272057266376,32,0.1
145,543,355,670,0,779,0,0.045,0.0,0.06803693691063938,0.20223598469039125,1.0,0.017894985231356384,0.050141951679282995,0.06803693691063938,33,0.1
146,553,354,685,0,778,0,0.045,0.0,0.06787969219683714,0.20227010679328636,1.0,0.017627042689464304,0.05025264950737283,0.06787969219683714,34,0.1
147,570,353,699,0,794,0,0.045,0.0,0.06773062700262827,0.20230245394042964,1.0,0.017368900798242493,0.05036172620438579,0.06773062700262827,34,0.1
148,578,352,703,0,797,0,0.045,0.0,0.06760571636922082,0.20232955954787907,1.0,0.017136373737761883,0.050469342631458934,0.06760571636922082,35,0.1
149,584,351,724,0,809,0,0.045,0.0,0.06764792682397075,0.20232039987919836,1.0,0.017071375951536173,0.05057655087243458,0.06764792682397075,36,0.1
150,597,350,744,0,815,0,0.045,0.0,0.06742143432310171,0.20236954875188695,1.0,0.016739757771859848,0.05068167655124186,0.06742143432310171,37,0.1
151,607,349,753,0,826,0,0.045,0.0,0.06722344977888828,0.20241251139798125,1.0,0.01643853920146123,0.05078491057742704,0.06722344977888828,37,0.1
152,628,348,776,0,832,0,0.045,0.0,0.06719469430180812,0.20241875133650764,1.0,0.01630737341930782,0.050887320882500295,0.06719469430180812,38,0.1
153,634,347,766,0,864,0,0.045,0.0,0.06697140155912816,0.2024672058616692,1.0,0.015983703021651887,0.05098769853747627,0.06697140155912816,38,0.1
154,644,346,758,0,882,0,0.045,0.0,0.06721146232241614,0.2024151126760357,1.0,0.01612251439454214,0.051088947927873996,0.06721146232241614,37,0.1
