Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
614,0,0,8527,2,1390,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998110374029517,0.0,0.007484128575477114,0.007484128575477114,186,0.51
615,0,0,8526,2,1388,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998109487609453,0.0,0.007484128575477114,0.007484128575477114,186,0.51
616,0,0,8516,2,1396,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.999810926587448,0.0,0.007484128575477114,0.007484128575477114,186,0.51
617,0,0,8506,2,1401,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998107045660617,0.0,0.007484128575477114,0.007484128575477114,186,0.51
618,0,0,8511,2,1394,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998104820226407,0.0,0.007484128575477114,0.007484128575477114,186,0.51
619,0,0,8531,2,1375,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998105933597206,0.0,0.007484128575477114,0.007484128575477114,186,0.51
620,0,0,8522,2,1374,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998110374029517,0.0,0.007484128575477114,0.007484128575477114,186,0.51
621,0,0,8537,2,1362,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.99981083784142,0.0,0.007484128575477114,0.007484128575477114,186,0.51
622,0,0,8553,2,1367,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998111702102122,0.0,0.007484128575477114,0.007484128575477114,186,0.51
623,0,0,8538,2,1374,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998115234519562,0.0,0.007484128575477114,0.007484128575477114,186,0.51
624,0,0,8533,2,1390,0,0.045,0.0,0.007484128575477114,0.21537594409912147,0.9998111923266082,0.0,0.007484128575477114,0.007484128575477114,186,0.51
